功效,组成,适应证,按语,方源,制作,药名,编号,分类
敛肺，利咽消肿。,诃子、玉竹、桔梗各10g，木蝴蝶6g。,慢性喉炎，音哑而干燥等。,诃子，敛肺、涩肠、下气，治久咳失音、久泻、久痢、脱肛、便血、崩漏、带下、遗精、尿频。《药性论》载诃子“通利津液，主破胸脯结气，止水道，黑髭发”。玉竹，养阴、润燥、除烦、止渴，治热病阴伤、咳嗽烦渴、虚劳发热、消谷易饥、小便频数。《本草别录》载玉竹“主心腹结气虚热，湿毒腰痛，茎中寒，及目痛眦烂泪出”。木蝴蝶，润肺、舒肝、和胃、生肌，治咳嗽、喉痹、音哑、肝胃气痛、疮口不敛。《滇南本草》载木蝴蝶“定喘，消痰，破蛊积，除血蛊、气蛊之毒。又能补虚，宽中，进食”。《本草图经》载:诃子有敛肺的作用，玉竹养阴润燥，桔梗、木蝴蝶则利咽消肿。三药合用，共奏利咽消肿之功。胃有痰湿气滞者忌服。,《常见病验方研究参考资料》。,上药制成粗末，沸水冲泡，代茶频饮。,诃玉茶,1241,五官科-咽喉科疾病
清热润肺，利咽解毒，润肠通便。,胖大海3枚。,鼻衄，急慢性咽炎、喉炎、扁桃腺炎。,胖大海首载于《本草纲目拾遗》，俗称“大发”，因其一得沸水，裂皮发胀，几乎充盈了整个杯子，故而得名。胖大海性寒味甘，有两大功能。一是清宣肺气，可以用于风热犯肺所致的急性咽炎、扁桃体炎，比如感冒时身体感到发热，嗓子疼，口干，同时伴有干咳；二是清肠通便，用于上火引起的便秘。急性扁桃体炎，用胖大海3~5枚，开水泡服；风热感冒引起的咽喉燥痛、干咳无痰、声音嘶哑，用胖大海5枚，泡茶饮服。本茶每日1~2次，连服1周。现代研究发现，胖大海能促进小肠蠕动，产生缓和的泻下作用，肠胃不好的人不要长期服用；该药还具有降压作用，因此，血压正常或者血压偏低的人长期服用的话，可能会有血压过低的危险。,《中国药膳学》。,沸水冲泡，代茶频饮。,胖大海茶,1242,五官科-咽喉科疾病
回阳救逆。,制附子1.5g，干姜3g，甘草3g，红茶3g。,阳气虚衰所致四肢厥冷、畏寒倦卧、神疲欲寐、下利清谷、腹中冷痛，肺心病、肺炎、中毒性休克、脱水所致的虚脱、血压下降。,附子回阳救逆、补火助阳、散寒止痛。干姜味辛性热，通心助阳、祛除里寒，与附子同用，能辅助附子以增强回阳救逆功效，并可减低附子的毒性。甘草缓和药性。附子有毒，反半夏、瓜蒌、贝母、白及、白蔹等。孕妇忌服本茶。,《伤寒论》。,附子夏秋间采收，经加工炮制后用。干姜冬季采挖。先将附子、干姜、甘草置于250ml水中煎煮至水沸后30分钟，再泡茶饮用。冲饮至味淡。,附子姜甘茶,1243,肿瘤-抗癌茶
益气止血。,人参3g，侧柏叶3g，花茶3g。,精神情志及酒色内伤，气血妄行所致吐血、下血、鼻衄。,元气是人体最根本之气，人参能大补元气、补气固脱。侧柏叶用于各种内外出血病证。其性凉味涩，既能凉血止血，又能收敛止血，主要用于血热妄行之证。《本草汇言》:“侧柏叶，止流血，去风湿之药也。凡吐血、衄血、崩血、便血，血热流溢于经络者，捣汁服之立止；凡历节风痱周身走注，痛极不能转动者，煮汁饮之即定。”本茶中含人参，凡实证、热证而正气不虚忌服；人参反藜芦，畏五灵脂，恶皂荚。,《中藏经》。,人参秋季茎叶将枯萎时采挖。侧柏叶全年可采。用200ml开水冲泡后饮用，冲饮至味淡。,参侧茶,1244,肿瘤-抗癌茶
补气生血。,人参3g，红枣3枚，红茶3g，糖10g。,失血病证。,凡大失血、大吐泻及其他一切疾病因元气虚极均可出现体虚欲脱，脉微欲绝之证。人参能大补元气，具有挽救虚脱的功效。红枣即大枣，补中益气、养血安神。大枣起源于中国，在中国已有4000多年的种植历史，自古以来就被列为“五果”（桃、李、梅、杏、枣）之一。大枣富含蛋白质、脂肪、糖类、胡萝卜素、B族维生素、维生素C、维生素P以及钙、磷、铁和环磷酸腺苷等营养成分。其中维生素C的含量在果品中名列前茅。大枣所含有的环磷酸腺苷，是人体细胞能量代谢的必需成分，能够增强肌力、消除疲劳、扩张血管、增加心肌收缩力、改善心肌营养，对防治心血管系统疾病有良好的作用，是脾胃虚弱、气血不足、倦怠无力、失眠多梦等病证患者良好的保健营养品。大枣对慢性肝炎、肝硬化、贫血、过敏性紫癜等病有较好疗效。大枣含有三萜类化合物及环磷酸腺苷，有较强的抗癌、抗过敏作用。糖是人体三大主要营养素之一，是人体热量的主要来源。本茶中含人参，凡实证、热证而正气不虚忌服；人参反藜芦，畏五灵脂，恶皂荚。另外大枣助湿生热，故湿盛脘腹胀满、食积、虫积、痰热咳嗽均忌用。,《十药神书》。,人参秋季茎叶将枯萎时采挖。大枣初秋采收。用人参、大枣的煎煮液300ml泡红茶饮用，冲饮至味淡。,人参枣茶,1245,肿瘤-抗癌茶
回阳救逆，散寒除湿。,制附子1.5g，红茶3g。,阴盛格阳、大汗亡阳所致吐利厥逆、心腹冷痛、脾泄冷痢、脚气水肿，阴毒寒疝，中寒中风，风湿麻痹，久漏冷疮，阳痿。,附子回阳救逆、补火助阳、散寒止痛。用于阳气衰微欲脱，大汗肢冷，脉微，肾阳虚弱，阳痿尿频，宫寒不孕，脾肾阳虚，脘腹冷痛，便溏腹泻，阳虚水肿，小便不利，风寒湿痹，肢节冷痛。为回阳救逆第一品药。孕妇禁用，不宜与半夏、瓜篓、天花粉、贝母、白蔹、白及同用。且需要根据个人的详细情况用药，用量适当。须知过犹不及，因附子含有毒性成分乌头碱，主要对心肌、迷走神经、神经末梢有兴奋麻痹作用，中毒症状如舌尖麻木、肢体麻木、蚁走感、头晕、视力模糊、恶心、呕吐等，甚至危及生命。,《本草纲目》。,夏秋间采收，经加工炮制用。先将附子置于200ml水中煎煮至水沸后30分钟，再泡茶饮用。冲饮至味淡。,附子茶,1246,肿瘤-抗癌茶
大补元气，固脱生津，安神益智。,人参10g，花茶3g。,劳损虚脱，大失血大吐泻之后体虚神衰，眩晕头痛，血汗暴脱，妇女崩漏，高血压，冠心病，心肌营养不良，糖尿病，阳痿。,人参，大补元气、复脉固脱、补脾益肺、生津止渴、安神益智。可治疗劳伤虚损、食少、倦怠、反胃吐食、大便滑泄、虚咳喘促、自汗暴脱、惊悸、健忘、眩晕头痛、阳痿、尿频、消渴、妇女崩漏、小儿慢惊及久虚不复，一切气血津液不足之证。人参被人们称为“百草之王”，是闻名遐迩的“东北三宝”（人参、貂皮、鹿茸）之一。人参含多种皂苷和多糖类成分，人参的浸出液可被皮肤缓慢吸收，对皮肤没有任何的不良刺激，能扩张皮肤毛细血管，促进皮肤血液循环，增加皮肤营养，调节皮肤的水油平衡，防止皮肤脱水、硬化、起皱。长期坚持使用含人参的产品，能增强皮肤弹性，使细胞获得新生。同时人参所含活性物质还具有抑制黑色素的还原性能，能使皮肤洁白光滑。它的美容效用数不胜数，是护肤美容的极品。凡实证、热证而正气不虚忌服。人参反藜芦，畏五灵脂，恶皂荚。,《景岳全书》。,人参秋季茎叶将枯萎时采挖。用300ml开水泡茶饮用，或用人参的煎煮液泡茶饮用。,独参茶,1247,肿瘤-抗癌茶
温中散寒，回阳通脉。,干姜10g，红茶3g。,心腹冷痛，肢冷，吐泻，寒饮咳喘，风湿寒痹，阳虚所致吐血、血、下血。,干姜具温中回阳、温肺化饮之功。能祛脾胃寒邪，助脾胃阳气，凡脾胃寒证，无论是外寒内侵之实证还是阳气不足之虚证均适用。现代药理研究证明，干姜提取物有明显镇痛作用，还能降压、抗炎、抗氧。另外，生姜性温，以温胃为主，有止呕良效，人称“呕家圣药”，兼具温肺之功。生姜虽温但不燥，不会引起喉咙疼，安全性相当高；而干姜则味辛，性热，归脾、胃、肾、心、肺经，其热气能行五脏，不可多用、滥用。阴虚内热、血热妄行者禁服本茶。,《医学入门》。,干姜，冬季采挖。用干姜的煎煮液250ml泡茶饮用，冲饮至味淡。,干姜茶,1248,肿瘤-抗癌茶
理气解郁。,郁金5g，木香3g，莪术3g，丹皮3g，花茶3g。,妇女情志所伤而致胁肋胀满、月经不调，肝癌，胃癌，食道癌。,郁金具活血止痛、行气解郁、凉血清心之功。木香，味辛、苦，归脾、胃、肝、大肠经，芳香行散，可升可降，具有行气止痛、健脾消滞、理气疏肝等功效。莪术能破血祛瘀、行气止痛。丹皮，清热凉血、活血散瘀，对于热入血分，阴虚骨蒸，血滞经闭，痈肿疮毒等均有疗效。该茶用300ml开水冲泡后饮用，冲饮至味淡。本茶辛温香散，能升能降，通理三焦之气，尤其善行胃肠之气而止痛，兼有健脾消食之功，凡脾胃大肠气滞所致诸证，本茶均为常用之品。气虚、阴虚者禁用。,《女科方要》。,郁金多于冬季或早春挖取块根，洗净后煮熟晒干。木香、莪术秋季采挖。,郁金木香茶,1249,肿瘤-抗癌茶
益气温中。,人参2g，肉桂4g，黄芪3g，甘草3g，花茶3g。,气血素亏，复因劳碌伤气，致腰膝酸沉、肢软气短。,人参，大补元气。黄芪，味甘性温，升举阳气。肉桂，味甘辛，性温，温补助火。甘草，补中益气、调和诸药。诸药合用，共奏益气温阳之功。素体亏虚，神疲乏力，面色不荣，言语低微者，常饮服之可改善体质。,经验方。,以上诸味用300ml开水泡饮，冲饮至味淡。,参桂茶,1250,肿瘤-抗癌茶
凉血止血，活血消瘀；降压，凝血。,蒲黄5g，花茶3g。,瘀热阻滞的腹痛肿痛，闭经，痛经，疮疡肿毒，吐血，尿血，阴部湿痒。,蒲黄止血、化瘀、通淋，用于吐血、衄血、咯血、崩漏、外伤出血、闭经、痛经、脘腹刺痛、跌打肿痛、血淋湿痛、阴下湿痒。蒲黄长于涩敛，止血作用较佳，对各种出血病证均可应用。《本草纲目》：“凉血活血，止心腹诸痛。生则能行，熟则能止。”生蒲黄有收缩子宫作用，故孕妇忌服。另外，蒲黄为花粉，需用布包。,经验方。,蒲黄5—6月采收。用200ml开水冲泡后饮用，冲饮至味淡。,蒲黄茶,1251,肿瘤-抗癌茶
补中益气，生津；升红细胞，升血糖，降血压。,党参10g，花茶3g。,气血两亏所致体倦无力、食少口渴等。,党参味甘性平，归脾、肺经。能补中益气、生津养血，适用于中气不足所致的食少便溏、四肢倦怠等。对虚寒证最为适用，若属热证，则不宜单独应用。党参为中国常用的传统补益药，古代以山西上党地区出产的党参为上品。现代研究发现，党参含多种糖类、酚类、甾醇、挥发油、黄芩素葡萄糖苷、皂苷及微量生物碱，具有增强免疫力、扩张血管、降压、改善微循环、增强造血功能等作用。此外对化疗、放疗引起的白细胞下降有提升作用。党参反藜芦，不宜同用。,经验方。,春秋两季采挖。用300ml开水冲泡后饮用，冲饮至味淡。,党参茶,1252,肿瘤-抗癌茶
益气升阳，透邪解毒。,黄芪5g，升麻3g，花茶3g。,气虚炎症，口腔溃疡，低血压，免疫功能低下，白细胞下降。,黄芪归脾、肺经，能补气升阳、益卫固表、托毒生肌、利水退肿。用于治疗气虚乏力，中气下陷，久泻脱肛，便血崩漏，表虚自汗，痈疽难溃，久溃不敛，血虚萎黄，内热消渴，慢性肾炎，蛋白尿，糖尿病等。炙黄芪益气补中，生用固表托疮。现代医学研究表明，黄芪含皂苷、蔗糖、多糖、多种氨基酸、叶酸及硒、锌、铜等多种微量元素，有增强机体免疫功能、保肝、利尿、抗衰老、抗应激、降压和较广泛的抗菌作用。能消除实验性肾炎蛋白尿，增强心肌收缩力，调节血糖含量。黄芪不仅能扩张冠状动脉，改善心肌供血，提高免疫功能，而且能够延缓细胞衰老的进程。升麻性能升散，发表透疹、清热解毒、升阳举陷。可用于热毒所致的多种病证，如牙龈肿痛、口舌生疮等。本品补气升阳，易于助火，又能止汗，故凡表实邪盛、气滞湿阻、食积内停、阴虚阳亢、痈疽初起或溃后热毒尚盛等证，均不宜用。,经验方。,黄芪春秋两季采挖。用250ml开水冲泡后饮用，冲饮至味淡。,芪升茶,1253,肿瘤-抗癌茶
和中缓急，润肺解毒；镇痛，镇咳，利尿。,甘草5g，绿茶3g。,脾胃气虚所致腹痛便溏、食少，劳倦发热，肺痿咳嗽，心悸，咽喉肿痛，消化性溃疡，药毒，食物中毒。,甘草性平，味甘，归十二经。有解毒、祛痰、止痛、解痉及抗癌等药理作用，能补脾益气、清热解毒、祛痰止咳、缓急止痛、调和诸药。用于脾胃虚弱，倦怠乏力，心悸气短，咳嗽痰多，脘腹、四肢挛急疼痛，痈肿疮毒，缓解药物毒性、烈性。甘草生用主治咽喉肿痛、痈疽疮疡、胃肠道溃疡，以及解药毒、食物中毒等；蜜炙主治脾胃功能减退，大便溏薄，乏力发热以及咳嗽、心悸等。本品味甘，能助湿壅气，令人中满，故湿盛而胸腹胀满及呕吐者忌服；甘草反大戟、芫花、海藻，不宜同用。使用时应注意，久服较大剂量的甘草，易引起水肿。,经验方。,甘草春秋采挖。用200ml开水冲泡后饮用，冲饮至味淡。,甘草茶,1254,肿瘤-抗癌茶
养阴清热，抗癌。,玄参、麦冬、山豆根、茅根各15g，生地、银花、黄芩、北沙参各9g，白毛藤、藕片、白花蛇舌草各30g。,癌症的辅助治疗。,方中玄参、麦冬、生地、沙参等养阴清热，山豆根、白花蛇舌草等均有抗肿瘤功效，可作为治疗肿瘤的辅助药。山豆根，清热解毒、消肿利咽，用于火毒蕴结，咽喉肿痛，齿龈肿痛。白花蛇舌草，清热、利湿、解毒，治肺热喘咳、扁桃体炎、咽喉炎、阑尾炎、痢疾、尿路感染、黄疸、肝炎、盆腔炎、附件炎、痈肿疔疮、毒蛇咬伤、肿瘤，亦可用于消化道癌症。代茶频服，每日1剂。孕妇慎用。,经验方。,上药共研细末，加水煎取药液。,玄参麦冬茶,1255,肿瘤-抗癌茶
